sentences,axes,ptypes,scores,dnames
Which religious denomination has the highest proportion of adherence to a specific doctrine?,Non-technical-Technical,compositional-nonvisual,4,kong|kong_3
Which religious sect exhibits the highest percentile response to a particular doctrinal tenet?,Non-technical-Technical,compositional-nonvisual,5,kong|kong_3
What do you think is the religion with the most followers who give a certain response?,Subjective-Objective,compositional-nonvisual,1,kong|kong_3
Don't you think it's likely that a certain religion has the most followers giving a particular response?,Subjective-Objective,compositional-nonvisual,2,kong|kong_3
"It seems like a certain religion might have the highest percentage of a particular response, doesn't it?",Subjective-Objective,compositional-nonvisual,3,kong|kong_3
"Based on the data, which religion appears to have the highest percentage of a particular response?",Subjective-Objective,compositional-nonvisual,4,kong|kong_3
"According to the data, which religion has the highest percentage of a particular response?",Subjective-Objective,compositional-nonvisual,5,kong|kong_3
Any thoughts on which faith might be leading the pack in terms of a certain reaction?,Implicit-Explicit,compositional-nonvisual,1,kong|kong_3
Can you guess which belief system might have the most of a certain response?,Implicit-Explicit,compositional-nonvisual,2,kong|kong_3
Do you know which religion might have the most of a specific response?,Implicit-Explicit,compositional-nonvisual,3,kong|kong_3
Can you tell me which religion has the most of a particular response?,Implicit-Explicit,compositional-nonvisual,4,kong|kong_3
Please tell me which religion has the highest percentage of a specific response.,Implicit-Explicit,compositional-nonvisual,5,kong|kong_3
Which religion's bar is the biggest?,Colloquial-Standard,compositional-visual,1,kong|kong_3
Which religion's response bar is the longest?,Colloquial-Standard,compositional-visual,2,kong|kong_3
Can you tell me which religion's response bar is the longest?,Colloquial-Standard,compositional-visual,3,kong|kong_3
"Could you identify which bar, representing a specific religion's response, is the longest?",Colloquial-Standard,compositional-visual,4,kong|kong_3
"Would you be able to ascertain which bar, indicative of a particular religious response, possesses the greatest length among all represented religions?",Colloquial-Standard,compositional-visual,5,kong|kong_3
Which answer got the most votes from all the different religions?,Non-technical-Technical,compositional-visual,1,kong|kong_3
Which response got the most ticks from all the religious groups?,Non-technical-Technical,compositional-visual,2,kong|kong_3
Which reaction was the most common among all religious groups?,Non-technical-Technical,compositional-visual,3,kong|kong_3
Which response was the most prevalent among all religious demographics?,Non-technical-Technical,compositional-visual,4,kong|kong_3
Which response manifested the highest frequency among all religious denominations?,Non-technical-Technical,compositional-visual,5,kong|kong_3
"Which bar, in my opinion, seems to be the longest and thus represents the most common response among all religions?",Subjective-Objective,compositional-visual,1,kong|kong_3
"I think the bar that represents a particular response appears to be the longest among all religions, don't you agree?",Subjective-Objective,compositional-visual,2,kong|kong_3
It seems like the bar representing a certain response might be the longest among all religions.,Subjective-Objective,compositional-visual,3,kong|kong_3
The bar representing a specific response appears to be the longest among all religions.,Subjective-Objective,compositional-visual,4,kong|kong_3
The bar representing a specific response is the longest among all religions.,Subjective-Objective,compositional-visual,5,kong|kong_3
Can you tell which faith's bar stretches out the most?,Implicit-Explicit,compositional-visual,1,kong|kong_3
Do you see the longest bar? It's tied to a certain belief system.,Implicit-Explicit,compositional-visual,2,kong|kong_3
Can you identify the religion with the longest bar in the graph?,Implicit-Explicit,compositional-visual,3,kong|kong_3
Which religion's bar on the graph is the longest?,Implicit-Explicit,compositional-visual,4,kong|kong_3
Identify the religion that has the longest bar in the graph.,Implicit-Explicit,compositional-visual,5,kong|kong_3
How's the response rate changing between different faiths?,Colloquial-Standard,open,1,kong|kong_3
How's the percent of a certain answer changing between different religions?,Colloquial-Standard,open,2,kong|kong_3
How does the percent of a specific response change among different religions?,Colloquial-Standard,open,3,kong|kong_3
How does the proportion of a particular response differ among various religions?,Colloquial-Standard,open,4,kong|kong_3
How does the proportion of a specific response fluctuate across diverse religious groups?,Colloquial-Standard,open,5,kong|kong_3
How does the number of people who answer a certain way change between different religions?,Non-technical-Technical,open,1,kong|kong_3
How does the response rate for a specific question change among different faiths?,Non-technical-Technical,open,2,kong|kong_3
How does the proportion of a specific response fluctuate among various religious groups?,Non-technical-Technical,open,3,kong|kong_3
How does the relative frequency of a particular response differ across diverse religious demographics?,Non-technical-Technical,open,4,kong|kong_3
How does the statistical distribution of a specific response deviate across various religious cohorts?,Non-technical-Technical,open,5,kong|kong_3
I wonder how the beliefs of different religions might influence the percentage of a certain response?,Subjective-Objective,open,1,kong|kong_3
Do you think the percentage of a certain response could be influenced by the beliefs of different religions?,Subjective-Objective,open,2,kong|kong_3
Could the percentage of a particular response be different depending on the religion?,Subjective-Objective,open,3,kong|kong_3
Is there a variation in the percentage of a particular response across different religions?,Subjective-Objective,open,4,kong|kong_3
What is the variation in the percentage of a particular response across different religions?,Subjective-Objective,open,5,kong|kong_3
What's the story with how different faiths feel about this issue?,Implicit-Explicit,open,1,kong|kong_3
Do you think there's a difference in how this issue is viewed by different religions?,Implicit-Explicit,open,2,kong|kong_3
Is there a variation in the response to this issue among different religions?,Implicit-Explicit,open,3,kong|kong_3
Can you tell me if the response to this issue differs among various religions?,Implicit-Explicit,open,4,kong|kong_3
Please provide the specific percentages of this response for each religion.,Implicit-Explicit,open,5,kong|kong_3
How many cases were there in 2010?,Colloquial-Standard,lookup-nonvisual,1,d3|d3_1
Do you know how many cases there were in 2010?,Colloquial-Standard,lookup-nonvisual,2,d3|d3_1
Can you tell me the number of cases in 2010?,Colloquial-Standard,lookup-nonvisual,3,d3|d3_1
Could you inform me of the number of cases in the year 2010?,Colloquial-Standard,lookup-nonvisual,4,d3|d3_1
Would you be so kind as to provide the quantity of cases for the annum 2010?,Colloquial-Standard,lookup-nonvisual,5,d3|d3_1
How many times did it happen in 2010?,Non-technical-Technical,lookup-nonvisual,1,d3|d3_1
Can you tell me how many incidents there were in 2010?,Non-technical-Technical,lookup-nonvisual,2,d3|d3_1
Could you provide the count of occurrences for the year 2010?,Non-technical-Technical,lookup-nonvisual,3,d3|d3_1
What's the total count of instances for the year 2010?,Non-technical-Technical,lookup-nonvisual,4,d3|d3_1
What is the quantitative data for the incidence rate in the year 2010?,Non-technical-Technical,lookup-nonvisual,5,d3|d3_1
Do you know how many cases there were in 2010? It feels like it was a lot.,Subjective-Objective,lookup-nonvisual,1,d3|d3_1
"I think there were quite a few cases in 2010, don't you?",Subjective-Objective,lookup-nonvisual,2,d3|d3_1
"It seems like the number of cases in 2010 was significant, right?",Subjective-Objective,lookup-nonvisual,3,d3|d3_1
Can you confirm the exact number of cases in 2010?,Subjective-Objective,lookup-nonvisual,4,d3|d3_1
Please provide the precise count of cases in the year 2010.,Subjective-Objective,lookup-nonvisual,5,d3|d3_1
Do you remember anything about the case count back in 2010?,Implicit-Explicit,lookup-nonvisual,1,d3|d3_1
Can you recall how many cases we had around 2010?,Implicit-Explicit,lookup-nonvisual,2,d3|d3_1
Could you tell me the case count for 2010?,Implicit-Explicit,lookup-nonvisual,3,d3|d3_1
Can you provide the exact number of cases in 2010?,Implicit-Explicit,lookup-nonvisual,4,d3|d3_1
Please provide the exact number of cases in the year 2010.,Implicit-Explicit,lookup-nonvisual,5,d3|d3_1
How tall's the 2010 bar on the x-line?,Colloquial-Standard,lookup-visual,1,d3|d3_1
How high's the 2010 bar on the x-axis?,Colloquial-Standard,lookup-visual,2,d3|d3_1
Can you tell me the height of the 2010 bar on the x-axis?,Colloquial-Standard,lookup-visual,3,d3|d3_1
What is the height of the bar for the year 2010 on the x-axis?,Colloquial-Standard,lookup-visual,4,d3|d3_1
Could you please indicate the precise height of the bar corresponding to the year 2010 on the x-axis?,Colloquial-Standard,lookup-visual,5,d3|d3_1
Can you tell me how tall the 2010 bar is on the line going from left to right?,Non-technical-Technical,lookup-visual,1,d3|d3_1
Can you show me the height of the 2010 bar on the horizontal line?,Non-technical-Technical,lookup-visual,2,d3|d3_1
What's the value of the 2010 bar on the horizontal axis?,Non-technical-Technical,lookup-visual,3,d3|d3_1
Can you determine the magnitude of the 2010 bar on the x-axis?,Non-technical-Technical,lookup-visual,4,d3|d3_1
What is the quantitative representation of the 2010 bar on the abscissa?,Non-technical-Technical,lookup-visual,5,d3|d3_1
Can you believe how high the bar for 2010 is on the x-axis?,Subjective-Objective,lookup-visual,1,d3|d3_1
"It seems like the bar for 2010 on the x-axis is quite high, doesn't it?",Subjective-Objective,lookup-visual,2,d3|d3_1
The bar for 2010 on the x-axis appears to be high.,Subjective-Objective,lookup-visual,3,d3|d3_1
The bar for the year 2010 on the x-axis is high.,Subjective-Objective,lookup-visual,4,d3|d3_1
The bar for the year 2010 on the x-axis measures at a certain height.,Subjective-Objective,lookup-visual,5,d3|d3_1
Can you guess the height of the 2010 bar on the graph?,Implicit-Explicit,lookup-visual,1,d3|d3_1
Any idea about the 2010 bar's height on the graph?,Implicit-Explicit,lookup-visual,2,d3|d3_1
What do you think is the height of the 2010 bar on the x-axis?,Implicit-Explicit,lookup-visual,3,d3|d3_1
Can you tell me the exact height of the 2010 bar on the x-axis?,Implicit-Explicit,lookup-visual,4,d3|d3_1
What is the exact height of the bar for the year 2010 on the x-axis?,Implicit-Explicit,lookup-visual,5,d3|d3_1
What's the most cases we've had in a year?,Colloquial-Standard,compositional-nonvisual,1,d3|d3_1
What's the highest number of cases we've seen in a year?,Colloquial-Standard,compositional-nonvisual,2,d3|d3_1
What is the highest number of cases recorded in a single year?,Colloquial-Standard,compositional-nonvisual,3,d3|d3_1
What is the greatest number of cases documented in any given year?,Colloquial-Standard,compositional-nonvisual,4,d3|d3_1
What is the maximum quantity of cases registered in any particular year?,Colloquial-Standard,compositional-nonvisual,5,d3|d3_1
What's the most number of times it happened in a year?,Non-technical-Technical,compositional-nonvisual,1,d3|d3_1
What's the highest count of instances in a year?,Non-technical-Technical,compositional-nonvisual,2,d3|d3_1
What is the peak number of occurrences in any given year?,Non-technical-Technical,compositional-nonvisual,3,d3|d3_1
What is the highest recorded frequency of cases in a single year?,Non-technical-Technical,compositional-nonvisual,4,d3|d3_1
What is the maximum annual incidence rate?,Non-technical-Technical,compositional-nonvisual,5,d3|d3_1
What do you think is the highest number of cases we've ever had in a year?,Subjective-Objective,compositional-nonvisual,1,d3|d3_1
"In your opinion, what could be the maximum number of cases we've seen in any year?",Subjective-Objective,compositional-nonvisual,2,d3|d3_1
What might be the maximum number of cases we've had in any year?,Subjective-Objective,compositional-nonvisual,3,d3|d3_1
Could you provide the data on the maximum number of cases in any given year?,Subjective-Objective,compositional-nonvisual,4,d3|d3_1
Please provide the data for the maximum number of cases recorded in a single year.,Subjective-Objective,compositional-nonvisual,5,d3|d3_1
Any idea about the peak case count in a year?,Implicit-Explicit,compositional-nonvisual,1,d3|d3_1
Can you guess the highest number of cases we've had in a year?,Implicit-Explicit,compositional-nonvisual,2,d3|d3_1
Do you know the highest number of cases recorded in a year?,Implicit-Explicit,compositional-nonvisual,3,d3|d3_1
Can you tell me the highest number of cases that have been recorded in a single year?,Implicit-Explicit,compositional-nonvisual,4,d3|d3_1
Please provide the exact highest number of cases recorded in any given year.,Implicit-Explicit,compositional-nonvisual,5,d3|d3_1
Which bar's the tallest one outta all of 'em?,Colloquial-Standard,compositional-visual,1,d3|d3_1
Which bar's the tallest out of all of them?,Colloquial-Standard,compositional-visual,2,d3|d3_1
Can you tell me which bar is the tallest among them all?,Colloquial-Standard,compositional-visual,3,d3|d3_1
Could you identify the tallest bar among all the others?,Colloquial-Standard,compositional-visual,4,d3|d3_1
Would you be able to ascertain which bar stands tallest amongst all others?,Colloquial-Standard,compositional-visual,5,d3|d3_1
Which bar is the biggest?,Non-technical-Technical,compositional-visual,1,d3|d3_1
Which bar is the highest?,Non-technical-Technical,compositional-visual,2,d3|d3_1
Which bar has the greatest height?,Non-technical-Technical,compositional-visual,3,d3|d3_1
Which bar exhibits the maximum vertical dimension?,Non-technical-Technical,compositional-visual,4,d3|d3_1
Which bar demonstrates the highest degree of vertical elevation in comparison to all other bars?,Non-technical-Technical,compositional-visual,5,d3|d3_1
Which bar do you think is the tallest among all the bars?,Subjective-Objective,compositional-visual,1,d3|d3_1
"Which bar seems to be the tallest among all the bars, don't you think?",Subjective-Objective,compositional-visual,2,d3|d3_1
Can you tell which bar appears to be the tallest among all the bars?,Subjective-Objective,compositional-visual,3,d3|d3_1
Could you identify the tallest bar among all the bars?,Subjective-Objective,compositional-visual,4,d3|d3_1
Which bar has the greatest height among all the bars?,Subjective-Objective,compositional-visual,5,d3|d3_1
Can you figure out the bar that stands out from the rest?,Implicit-Explicit,compositional-visual,1,d3|d3_1
Can you tell which bar is not like the others?,Implicit-Explicit,compositional-visual,2,d3|d3_1
Can you identify the bar that's higher than the rest?,Implicit-Explicit,compositional-visual,3,d3|d3_1
Can you point out the bar that is taller than all the others?,Implicit-Explicit,compositional-visual,4,d3|d3_1
Please identify the tallest bar among all the bars.,Implicit-Explicit,compositional-visual,5,d3|d3_1
Any idea why the year with the biggest bar got the most cases?,Colloquial-Standard,open,1,d3|d3_1
Got any clue why the year with the tallest bar has the most cases?,Colloquial-Standard,open,2,d3|d3_1
Can you think of why the year with the highest bar might have the most cases?,Colloquial-Standard,open,3,d3|d3_1
Could you speculate on why the year with the highest bar has the highest number of cases?,Colloquial-Standard,open,4,d3|d3_1
Could you elucidate on the potential reasons for the year with the highest bar having the maximum number of cases?,Colloquial-Standard,open,5,d3|d3_1
Why do you think there were so many cases in the year with the biggest bar?,Non-technical-Technical,open,1,d3|d3_1
Can you think of any reasons why there were so many cases in the year with the tallest bar?,Non-technical-Technical,open,2,d3|d3_1
What might be the factors contributing to the peak number of cases in the year represented by the highest bar?,Non-technical-Technical,open,3,d3|d3_1
What could be the potential causative factors for the maximum number of cases in the year represented by the highest bar?,Non-technical-Technical,open,4,d3|d3_1
What could be the plausible etiological factors contributing to the apex number of cases in the year denoted by the highest bar?,Non-technical-Technical,open,5,d3|d3_1
"I'm really curious about why there were so many cases in the year with the tallest bar. It's puzzling, isn't it?",Subjective-Objective,open,1,d3|d3_1
"I'm wondering if there's a specific reason why the year with the highest bar had so many cases. It seems a bit unusual, don't you think?",Subjective-Objective,open,2,d3|d3_1
Could there be any particular reasons for the high number of cases in the year with the highest bar?,Subjective-Objective,open,3,d3|d3_1
What factors might have contributed to the high number of cases in the year with the highest bar?,Subjective-Objective,open,4,d3|d3_1
What are the potential causes for the peak number of cases in the year with the highest bar?,Subjective-Objective,open,5,d3|d3_1
Any thoughts on why that year had the tallest bar?,Implicit-Explicit,open,1,d3|d3_1
Can you think of why that year might have had the most cases?,Implicit-Explicit,open,2,d3|d3_1
What might have caused the highest number of cases in the year with the tallest bar?,Implicit-Explicit,open,3,d3|d3_1
Can you identify the reasons for the highest number of cases in the year with the highest bar?,Implicit-Explicit,open,4,d3|d3_1
What are the specific reasons for the highest number of cases in the year with the highest bar?,Implicit-Explicit,open,5,d3|d3_1
How much dough did the company make in 2015?,Colloquial-Standard,lookup-nonvisual,1,d3|d3_10
How much cash did the company pull in 2015?,Colloquial-Standard,lookup-nonvisual,2,d3|d3_10
What was the company's income in 2015?,Colloquial-Standard,lookup-nonvisual,3,d3|d3_10
What was the financial gain of the company in 2015?,Colloquial-Standard,lookup-nonvisual,4,d3|d3_10
What was the fiscal yield of the corporation in the annum 2015?,Colloquial-Standard,lookup-nonvisual,5,d3|d3_10
How much money did the company make in 2015?,Non-technical-Technical,lookup-nonvisual,1,d3|d3_10
What was the company's income in 2015?,Non-technical-Technical,lookup-nonvisual,2,d3|d3_10
Can you tell me the financial earnings of the company for 2015?,Non-technical-Technical,lookup-nonvisual,3,d3|d3_10
What was the total monetary gain of the company in the fiscal year of 2015?,Non-technical-Technical,lookup-nonvisual,4,d3|d3_10
What was the total fiscal yield of the corporation in the financial year of 2015?,Non-technical-Technical,lookup-nonvisual,5,d3|d3_10
"I'm really curious, how much money did the company make in 2015?",Subjective-Objective,lookup-nonvisual,1,d3|d3_10
"I'm wondering, what was the company's income in 2015?",Subjective-Objective,lookup-nonvisual,2,d3|d3_10
Can you tell me what the company's revenue was in 2015?,Subjective-Objective,lookup-nonvisual,3,d3|d3_10
What was the financial gain of the company in 2015?,Subjective-Objective,lookup-nonvisual,4,d3|d3_10
Please provide the exact revenue figure for the company in the year 2015.,Subjective-Objective,lookup-nonvisual,5,d3|d3_10
Do you remember anything about how the company was doing financially around 2015?,Implicit-Explicit,lookup-nonvisual,1,d3|d3_10
Can you recall how the company's finances looked in 2015?,Implicit-Explicit,lookup-nonvisual,2,d3|d3_10
Can you tell me about the company's financial performance in 2015?,Implicit-Explicit,lookup-nonvisual,3,d3|d3_10
Can you provide the financial figures for the company in 2015?,Implicit-Explicit,lookup-nonvisual,4,d3|d3_10
Please provide the exact revenue figure for the company in the year 2015.,Implicit-Explicit,lookup-nonvisual,5,d3|d3_10
Where's the spot where the line hits the y-axis for 2015?,Colloquial-Standard,lookup-visual,1,d3|d3_10
Where's the line crossing the y-axis for 2015?,Colloquial-Standard,lookup-visual,2,d3|d3_10
Can you show me where the line intersects the y-axis in 2015?,Colloquial-Standard,lookup-visual,3,d3|d3_10
Could you indicate the point of intersection of the line with the y-axis for the year 2015?,Colloquial-Standard,lookup-visual,4,d3|d3_10
At which point does the line intersect the ordinate for the annum 2015?,Colloquial-Standard,lookup-visual,5,d3|d3_10
Where does the line cross the up-down line for the year 2015?,Non-technical-Technical,lookup-visual,1,d3|d3_10
Where does the line meet the vertical line for 2015?,Non-technical-Technical,lookup-visual,2,d3|d3_10
Where does the line cross the y-axis in 2015?,Non-technical-Technical,lookup-visual,3,d3|d3_10
At what point does the line intersect the y-axis for the data of 2015?,Non-technical-Technical,lookup-visual,4,d3|d3_10
At which ordinate does the line intersect the y-axis for the 2015 data set?,Non-technical-Technical,lookup-visual,5,d3|d3_10
"I'm really curious, where do you think the line might intersect the y-axis for the year 2015?",Subjective-Objective,lookup-visual,1,d3|d3_10
"I'm not entirely sure, but where could the line possibly intersect the y-axis for the year 2015?",Subjective-Objective,lookup-visual,2,d3|d3_10
Where might the line intersect the y-axis for the year 2015?,Subjective-Objective,lookup-visual,3,d3|d3_10
Can you determine where the line intersects the y-axis for the year 2015?,Subjective-Objective,lookup-visual,4,d3|d3_10
Identify the point of intersection of the line with the y-axis for the year 2015.,Subjective-Objective,lookup-visual,5,d3|d3_10
Remember 2015? What's happening with the line and the y-axis then?,Implicit-Explicit,lookup-visual,1,d3|d3_10
Can you recall where the line and the y-axis meet in 2015?,Implicit-Explicit,lookup-visual,2,d3|d3_10
Can you tell me the point of intersection between the line and the y-axis in 2015?,Implicit-Explicit,lookup-visual,3,d3|d3_10
What is the exact point of intersection between the line and the y-axis for 2015?,Implicit-Explicit,lookup-visual,4,d3|d3_10
Please provide the precise coordinates where the line intersects the y-axis in the year 2015.,Implicit-Explicit,lookup-visual,5,d3|d3_10
What's the cash difference between 2015 and 2020?,Colloquial-Standard,compositional-nonvisual,1,d3|d3_10
What's the difference in money made between 2015 and 2020?,Colloquial-Standard,compositional-nonvisual,2,d3|d3_10
Can you tell me the difference in earnings from 2015 to 2020?,Colloquial-Standard,compositional-nonvisual,3,d3|d3_10
Could you clarify the difference in revenue from 2015 to 2020?,Colloquial-Standard,compositional-nonvisual,4,d3|d3_10
Could you elucidate the discrepancy in revenue between the fiscal years of 2015 and 2020?,Colloquial-Standard,compositional-nonvisual,5,d3|d3_10
Can you tell me how much more money we made in 2020 compared to 2015?,Non-technical-Technical,compositional-nonvisual,1,d3|d3_10
Can you show me the difference in how much we earned in 2015 and 2020?,Non-technical-Technical,compositional-nonvisual,2,d3|d3_10
Can you illustrate the disparity in earnings between 2015 and 2020?,Non-technical-Technical,compositional-nonvisual,3,d3|d3_10
Can you quantify the variance in fiscal gain between the years 2015 and 2020?,Non-technical-Technical,compositional-nonvisual,4,d3|d3_10
Can you elucidate the differential in financial yield between the fiscal years of 2015 and 2020?,Non-technical-Technical,compositional-nonvisual,5,d3|d3_10
"I'm really curious, how much did the revenue change between 2015 and 2020? It feels like it must have increased a lot, right?",Subjective-Objective,compositional-nonvisual,1,d3|d3_10
"I'm wondering, do you think there's a significant difference in the revenue between 2015 and 2020?",Subjective-Objective,compositional-nonvisual,2,d3|d3_10
Can you tell me if there's a noticeable difference in the revenue between 2015 and 2020?,Subjective-Objective,compositional-nonvisual,3,d3|d3_10
Could you provide the data on the difference in revenue between the years 2015 and 2020?,Subjective-Objective,compositional-nonvisual,4,d3|d3_10
Please provide the exact difference in revenue between the years 2015 and 2020.,Subjective-Objective,compositional-nonvisual,5,d3|d3_10
Can you think about how the revenue might have changed from 2015 to 2020?,Implicit-Explicit,compositional-nonvisual,1,d3|d3_10
Could you give some thought to the revenue shift between 2015 and 2020?,Implicit-Explicit,compositional-nonvisual,2,d3|d3_10
Can you tell me about the revenue change from 2015 to 2020?,Implicit-Explicit,compositional-nonvisual,3,d3|d3_10
Can you provide the difference in revenue from 2015 to 2020?,Implicit-Explicit,compositional-nonvisual,4,d3|d3_10
Please provide the exact difference in revenue between the years 2015 and 2020.,Implicit-Explicit,compositional-nonvisual,5,d3|d3_10
How far up or down is it from 2015 to 2020 on the line?,Colloquial-Standard,compositional-visual,1,d3|d3_10
What's the up-down distance between 2015 and 2020 on the line?,Colloquial-Standard,compositional-visual,2,d3|d3_10
What's the vertical gap between the points for 2015 and 2020 on the line?,Colloquial-Standard,compositional-visual,3,d3|d3_10
Could you tell me the vertical distance between the points for the years 2015 and 2020 on the line?,Colloquial-Standard,compositional-visual,4,d3|d3_10
Could you elucidate the vertical displacement between the points corresponding to the years 2015 and 2020 on the line?,Colloquial-Standard,compositional-visual,5,d3|d3_10
How far up or down is it from the spot for 2015 to the spot for 2020?,Non-technical-Technical,compositional-visual,1,d3|d3_10
How much does the line go up or down from 2015 to 2020?,Non-technical-Technical,compositional-visual,2,d3|d3_10
What's the difference in height on the line between 2015 and 2020?,Non-technical-Technical,compositional-visual,3,d3|d3_10
What's the difference in vertical position between the points for 2015 and 2020 on the line?,Non-technical-Technical,compositional-visual,4,d3|d3_10
What is the vertical displacement between the coordinates for the years 2015 and 2020 on the line graph?,Non-technical-Technical,compositional-visual,5,d3|d3_10
"Can you tell me how much the line has risen or fallen between 2015 and 2020? It seems like there's a significant change, doesn't it?",Subjective-Objective,compositional-visual,1,d3|d3_10
Don't you think there's a noticeable difference in the line's height between 2015 and 2020?,Subjective-Objective,compositional-visual,2,d3|d3_10
"It appears there might be a difference in the line's height between 2015 and 2020, wouldn't you agree?",Subjective-Objective,compositional-visual,3,d3|d3_10
Could you determine the difference in the line's height between 2015 and 2020?,Subjective-Objective,compositional-visual,4,d3|d3_10
Please calculate the difference in vertical distance between the points on the line for the years 2015 and 2020.,Subjective-Objective,compositional-visual,5,d3|d3_10
Can you figure out how far apart the years 2015 and 2020 are on the line?,Implicit-Explicit,compositional-visual,1,d3|d3_10
Could you help me understand the gap on the line between 2015 and 2020?,Implicit-Explicit,compositional-visual,2,d3|d3_10
What's the gap on the line between 2015 and 2020?,Implicit-Explicit,compositional-visual,3,d3|d3_10
Can you tell me the exact vertical distance between the points for 2015 and 2020 on the line?,Implicit-Explicit,compositional-visual,4,d3|d3_10
Please provide the exact vertical distance between the points on the line for the years 2015 and 2020.,Implicit-Explicit,compositional-visual,5,d3|d3_10
How's the company's cash flow been doing over time?,Colloquial-Standard,open,1,d3|d3_10
How's the company's money situation changed over the years?,Colloquial-Standard,open,2,d3|d3_10
How has the company's financial status changed over the years?,Colloquial-Standard,open,3,d3|d3_10
How has the company's financial performance evolved over the years?,Colloquial-Standard,open,4,d3|d3_10
How has the fiscal performance of the corporation altered over the chronological span?,Colloquial-Standard,open,5,d3|d3_10
How has the money the company makes changed over time?,Non-technical-Technical,open,1,d3|d3_10
How has the company's income changed over the years?,Non-technical-Technical,open,2,d3|d3_10
How has the financial performance of the company varied over the years?,Non-technical-Technical,open,3,d3|d3_10
How has the company's financial yield fluctuated over the years?,Non-technical-Technical,open,4,d3|d3_10
How has the company's fiscal revenue stream evolved over the chronological timeline?,Non-technical-Technical,open,5,d3|d3_10
Do you think the company's revenue has improved or worsened over the years?,Subjective-Objective,open,1,d3|d3_10
"I feel like the company's revenue might have fluctuated over the years, what do you think?",Subjective-Objective,open,2,d3|d3_10
Has there been a noticeable change in the company's revenue over the years?,Subjective-Objective,open,3,d3|d3_10
Can we examine the changes in the company's revenue over the years?,Subjective-Objective,open,4,d3|d3_10
What is the data on the company's revenue changes over the years?,Subjective-Objective,open,5,d3|d3_10
Any thoughts on the company's financial journey through time?,Implicit-Explicit,open,1,d3|d3_10
Can you share some insights on the company's financial progression over time?,Implicit-Explicit,open,2,d3|d3_10
Can you tell me about the changes in the company's revenue over the years?,Implicit-Explicit,open,3,d3|d3_10
What are the specific changes in the company's revenue over the years?,Implicit-Explicit,open,4,d3|d3_10
Please provide exact figures for the company's annual revenue for each of the past five years.,Implicit-Explicit,open,5,d3|d3_10
How much dough did they blow on R&D in 2010?,Colloquial-Standard,lookup-nonvisual,1,d3|d3_11
How much cash was spent on research and stuff in 2010?,Colloquial-Standard,lookup-nonvisual,2,d3|d3_11
What was the cost of research and development in 2010?,Colloquial-Standard,lookup-nonvisual,3,d3|d3_11
Could you tell me the expenditure on research and development in 2010?,Colloquial-Standard,lookup-nonvisual,4,d3|d3_11
Could you please inform me of the financial outlay for research and development in the fiscal year of 2010?,Colloquial-Standard,lookup-nonvisual,5,d3|d3_11
How much money did we spend on trying out new things and making them better in 2010?,Non-technical-Technical,lookup-nonvisual,1,d3|d3_11
How much was spent on improving and creating new stuff in 2010?,Non-technical-Technical,lookup-nonvisual,2,d3|d3_11
What was the cost of improving and creating new products in 2010?,Non-technical-Technical,lookup-nonvisual,3,d3|d3_11
What was the financial outlay for research and development in 2010?,Non-technical-Technical,lookup-nonvisual,4,d3|d3_11
What was the fiscal allocation for the research and development sector in the fiscal year of 2010?,Non-technical-Technical,lookup-nonvisual,5,d3|d3_11
Do you know how much money they wasted on research and development in 2010?,Subjective-Objective,lookup-nonvisual,1,d3|d3_11
"I'm curious, how much do you think they spent on research and development in 2010?",Subjective-Objective,lookup-nonvisual,2,d3|d3_11
Can you tell me what the research and development expenditure was in 2010?,Subjective-Objective,lookup-nonvisual,3,d3|d3_11
Could you provide the exact figure for the research and development expenditure in 2010?,Subjective-Objective,lookup-nonvisual,4,d3|d3_11
Please provide the data for the research and development expenditure in the year 2010.,Subjective-Objective,lookup-nonvisual,5,d3|d3_11
Do you remember anything about the money we put into R&D back in 2010?,Implicit-Explicit,lookup-nonvisual,1,d3|d3_11
Can you recall how much we spent on R&D around a decade ago?,Implicit-Explicit,lookup-nonvisual,2,d3|d3_11
Can you tell me the amount we spent on research and development in 2010?,Implicit-Explicit,lookup-nonvisual,3,d3|d3_11
What amount did we allocate for research and development in 2010?,Implicit-Explicit,lookup-nonvisual,4,d3|d3_11
Please provide the exact figure for the research and development expenditure in the year 2010.,Implicit-Explicit,lookup-nonvisual,5,d3|d3_11
How long's the line at the bit for 2010?,Colloquial-Standard,lookup-visual,1,d3|d3_11
How long is the line at the 2010 mark?,Colloquial-Standard,lookup-visual,2,d3|d3_11
What's the length of the line at the 2010 point?,Colloquial-Standard,lookup-visual,3,d3|d3_11
What is the measurement of the line at the point for the year 2010?,Colloquial-Standard,lookup-visual,4,d3|d3_11
What is the magnitude of the line at the point that corresponds to the year 2010?,Colloquial-Standard,lookup-visual,5,d3|d3_11
How tall was the line in 2010?,Non-technical-Technical,lookup-visual,1,d3|d3_11
What was the height of the line in 2010?,Non-technical-Technical,lookup-visual,2,d3|d3_11
What was the line's value at the 2010 mark?,Non-technical-Technical,lookup-visual,3,d3|d3_11
What is the value of the line at the point that represents the year 2010?,Non-technical-Technical,lookup-visual,4,d3|d3_11
What is the ordinate of the line at the abscissa corresponding to the year 2010?,Non-technical-Technical,lookup-visual,5,d3|d3_11
"I'm really curious about how high the line might be at the point that matches up with 2010. I bet it's pretty high, don't you think?",Subjective-Objective,lookup-visual,1,d3|d3_11
